"terms","count","probability"
"in an effort to",40,0.00115848007414272
"it will be a",40,0.00115848007414272
"may or may not",40,0.00115848007414272
"not going to be",40,0.00115848007414272
"the name of the",40,0.00115848007414272
"to figure out how",40,0.00115848007414272
"to get to the",40,0.00115848007414272
"to look at the",40,0.00115848007414272
"a part of the",39,0.00112951807228916
"at the age of",39,0.00112951807228916
"dont get me wrong",39,0.00112951807228916
"for a few days",39,0.00112951807228916
"have to go to",39,0.00112951807228916
"i wish i was",39,0.00112951807228916
"if you have any",39,0.00112951807228916
"in the face of",39,0.00112951807228916
"is one of those",39,0.00112951807228916
"love you so much",39,0.00112951807228916
"said in an interview",39,0.00112951807228916
"the only one who",39,0.00112951807228916
"the way to the",39,0.00112951807228916
"to be a part",39,0.00112951807228916
"what is your favorite",39,0.00112951807228916
"and one of the",38,0.00110055607043559
"as a way to",38,0.00110055607043559
"at the bottom of",38,0.00110055607043559
"from time to time",38,0.00110055607043559
"i am not sure",38,0.00110055607043559
"i was in the",38,0.00110055607043559
"if you are a",38,0.00110055607043559
"in a long time",38,0.00110055607043559
"in the history of",38,0.00110055607043559
"in the way of",38,0.00110055607043559
"it would have been",38,0.00110055607043559
"me know if you",38,0.00110055607043559
"the rest of my",38,0.00110055607043559
"was the first time",38,0.00110055607043559
"would have been a",38,0.00110055607043559
"would love to see",38,0.00110055607043559
"and i have to",37,0.00107159406858202
"i hate it when",37,0.00107159406858202
"i have to do",37,0.00107159406858202
"i have to go",37,0.00107159406858202
"i was trying to",37,0.00107159406858202
"in the bottom of",37,0.00107159406858202
"it has been a",37,0.00107159406858202
"more than a year",37,0.00107159406858202
"one of the things",37,0.00107159406858202
"some of the most",37,0.00107159406858202
"the past two years",37,0.00107159406858202
"the time of the",37,0.00107159406858202
"to the point where",37,0.00107159406858202
"with the help of",37,0.00107159406858202
"you would like to",37,0.00107159406858202
"a few of the",36,0.00104263206672845
"as you can see",36,0.00104263206672845
"i have to admit",36,0.00104263206672845
"i think this is",36,0.00104263206672845
"in the fourth quarter",36,0.00104263206672845
"is not going to",36,0.00104263206672845
"mothers day to all",36,0.00104263206672845
"on the back of",36,0.00104263206672845
"over and over again",36,0.00104263206672845
"some of the best",36,0.00104263206672845
"we look forward to",36,0.00104263206672845
"what to do with",36,0.00104263206672845
"a couple of years",35,0.00101367006487488
"cant wait for the",35,0.00101367006487488
"had a chance to",35,0.00101367006487488
"i want to see",35,0.00101367006487488
"in and out of",35,0.00101367006487488
"in the first round",35,0.00101367006487488
"it was the first",35,0.00101367006487488
"make it to the",35,0.00101367006487488
"thanks for following me",35,0.00101367006487488
"that there is a",35,0.00101367006487488
"the s and s",35,0.00101367006487488
"the size of the",35,0.00101367006487488
"those of us who",35,0.00101367006487488
"to get rid of",35,0.00101367006487488
"want to be a",35,0.00101367006487488
"a couple of days",34,0.000984708063021316
"am i the only",34,0.000984708063021316
"both sides of the",34,0.000984708063021316
"for more than a",34,0.000984708063021316
"have been able to",34,0.000984708063021316
"i am so excited",34,0.000984708063021316
"i can tell you",34,0.000984708063021316
"i need to be",34,0.000984708063021316
"i thought i would",34,0.000984708063021316
"im going to have",34,0.000984708063021316
"in the wake of",34,0.000984708063021316
"it was going to",34,0.000984708063021316
"let me know what",34,0.000984708063021316
"my husband and i",34,0.000984708063021316
"not be able to",34,0.000984708063021316
"of the block of",34,0.000984708063021316
"the of the year",34,0.000984708063021316
"to all of you",34,0.000984708063021316
"to hear from you",34,0.000984708063021316
"when i was in",34,0.000984708063021316
"a whole lot of",33,0.000955746061167748
"do not want to",33,0.000955746061167748
"for a couple of",33,0.000955746061167748
"have to do is",33,0.000955746061167748
"i dont have any",33,0.000955746061167748
"im not sure if",33,0.000955746061167748
"in a couple of",33,0.000955746061167748
"know what you think",33,0.000955746061167748
"look forward to seeing",33,0.000955746061167748
"no such thing as",33,0.000955746061167748
"of one of the",33,0.000955746061167748
"one of the reasons",33,0.000955746061167748
"the first half of",33,0.000955746061167748
"the next few days",33,0.000955746061167748
"the rest of us",33,0.000955746061167748
"would have to be",33,0.000955746061167748
"would you like to",33,0.000955746061167748
"you for the follow",33,0.000955746061167748
"as long as i",32,0.00092678405931418
"at the start of",32,0.00092678405931418
"for a chance to",32,0.00092678405931418
"for a few minutes",32,0.00092678405931418
"i am not a",32,0.00092678405931418
"i think it is",32,0.00092678405931418
"if you are not",32,0.00092678405931418
"in the right direction",32,0.00092678405931418
"not being able to",32,0.00092678405931418
"on a regular basis",32,0.00092678405931418
"on one of the",32,0.00092678405931418
"thank you for following",32,0.00092678405931418
"the last couple of",32,0.00092678405931418
