"terms","count","probability"
"im really",151,0.00116213740928017
"looked like",151,0.00116213740928017
"one time",151,0.00116213740928017
"supreme court",151,0.00116213740928017
"thats good",151,0.00116213740928017
"people will",150,0.00115444113504652
"youre welcome",150,0.00115444113504652
"ive seen",149,0.00114674486081288
"police said",149,0.00114674486081288
"pretty sure",149,0.00114674486081288
"real estate",148,0.00113904858657924
"time get",148,0.00113904858657924
"will also",148,0.00113904858657924
"dont worry",147,0.00113135231234559
"can also",145,0.00111595976387831
"ha ha",145,0.00111595976387831
"im excited",145,0.00111595976387831
"something like",145,0.00111595976387831
"good news",143,0.00110056721541102
"stay tuned",143,0.00110056721541102
"two days",143,0.00110056721541102
"weve got",143,0.00110056721541102
"someone else",142,0.00109287094117738
"one favorite",141,0.00108517466694373
"super bowl",141,0.00108517466694373
"every single",140,0.00107747839271009
"feel better",140,0.00107747839271009
"really like",140,0.00107747839271009
"friday night",139,0.00106978211847645
"im happy",139,0.00106978211847645
"just finished",139,0.00106978211847645
"lets get",139,0.00106978211847645
"one two",139,0.00106978211847645
"york city",139,0.00106978211847645
"im pretty",138,0.0010620858442428
"year ago",137,0.00105438957000916
"saturday night",136,0.00104669329577551
"many years",135,0.00103899702154187
"much fun",135,0.00103899702154187
"th century",135,0.00103899702154187
"every year",134,0.00103130074730823
"first day",134,0.00103130074730823
"love u",133,0.00102360447307458
"think can",133,0.00102360447307458
"go home",132,0.00101590819884094
"im trying",132,0.00101590819884094
"much love",132,0.00101590819884094
"new years",132,0.00101590819884094
"one can",132,0.00101590819884094
"valentines day",132,0.00101590819884094
"can use",131,0.0010082119246073
"one another",131,0.0010082119246073
"dont see",130,0.00100051565037365
"happy new",130,0.00100051565037365
"im getting",130,0.00100051565037365
"love love",130,0.00100051565037365
"couple weeks",129,0.000992819376140011
"know can",129,0.000992819376140011
"much time",129,0.000992819376140011
"thank god",129,0.000992819376140011
"will see",129,0.000992819376140011
"good job",128,0.000985123101906367
"good night",128,0.000985123101906367
"will find",127,0.000977426827672724
"get ready",126,0.00096973055343908
"law enforcement",126,0.00096973055343908
"take place",126,0.00096973055343908
"everyone else",125,0.000962034279205437
"never seen",125,0.000962034279205437
"things like",125,0.000962034279205437
"came back",124,0.000954338004971793
"can still",124,0.000954338004971793
"hard work",124,0.000954338004971793
"just need",124,0.000954338004971793
"like one",124,0.000954338004971793
"now can",124,0.000954338004971793
"six months",123,0.00094664173073815
"wall street",123,0.00094664173073815
"great job",122,0.000938945456504506
"kansas city",122,0.000938945456504506
"lot people",122,0.000938945456504506
"new orleans",122,0.000938945456504506
"next day",122,0.000938945456504506
"oh well",122,0.000938945456504506
"want get",122,0.000938945456504506
"around world",121,0.000931249182270863
"executive director",121,0.000931249182270863
"back home",120,0.000923552908037219
"help us",120,0.000923552908037219
"want know",120,0.000923552908037219
"havent seen",119,0.000915856633803576
"people can",119,0.000915856633803576
"thats just",119,0.000915856633803576
"makes sense",118,0.000908160359569932
"mitt romney",118,0.000908160359569932
"years later",118,0.000908160359569932
"best way",117,0.000900464085336289
"coming soon",117,0.000900464085336289
"just cant",117,0.000900464085336289
"parking lot",117,0.000900464085336289
"really dont",117,0.000900464085336289
"barack obama",116,0.000892767811102645
"get better",116,0.000892767811102645
"id love",116,0.000892767811102645
"just get",116,0.000892767811102645
"think will",116,0.000892767811102645
"dont understand",115,0.000885071536869002
"good idea",115,0.000885071536869002
"tell us",115,0.000885071536869002
"good time",114,0.000877375262635358
"im ready",114,0.000877375262635358
"least one",114,0.000877375262635358
"will give",114,0.000877375262635358
"beautiful day",113,0.000869678988401715
"get one",113,0.000869678988401715
"know youre",113,0.000869678988401715
"oh yeah",113,0.000869678988401715
"just say",112,0.000861982714168071
"may th",112,0.000861982714168071
"one person",112,0.000861982714168071
"also said",111,0.000854286439934428
"coming back",111,0.000854286439934428
"dont let",111,0.000854286439934428
"great weekend",111,0.000854286439934428
"hope see",111,0.000854286439934428
"just wanted",111,0.000854286439934428
"last two",111,0.000854286439934428
"now just",111,0.000854286439934428
"school district",111,0.000854286439934428
"something else",111,0.000854286439934428
"city council",110,0.000846590165700784
"even better",110,0.000846590165700784
"first half",110,0.000846590165700784
"give us",110,0.000846590165700784
"im looking",110,0.000846590165700784
"months ago",110,0.000846590165700784
"yet another",110,0.000846590165700784
"even know",109,0.000838893891467141
"hunger games",109,0.000838893891467141
"north carolina",109,0.000838893891467141
"president obama",109,0.000838893891467141
"said statement",109,0.000838893891467141
"will able",108,0.000831197617233497
"happy hour",107,0.000823501342999854
"time year",107,0.000823501342999854
"didnt even",106,0.00081580506876621
"good enough",106,0.00081580506876621
"last day",106,0.00081580506876621
"said just",106,0.00081580506876621
"anything else",105,0.000808108794532567
"didnt think",105,0.000808108794532567
"dont really",105,0.000808108794532567
"first place",105,0.000808108794532567
"go get",105,0.000808108794532567
"im tired",105,0.000808108794532567
"olive oil",105,0.000808108794532567
"rt rt",105,0.000808108794532567
"say hi",105,0.000808108794532567
"spend time",105,0.000808108794532567
"another day",104,0.000800412520298923
"doesnt matter",104,0.000800412520298923
"know will",104,0.000800412520298923
"many things",104,0.000800412520298923
"one year",104,0.000800412520298923
"three times",104,0.000800412520298923
"washington dc",104,0.000800412520298923
"well see",104,0.000800412520298923
"much like",103,0.00079271624606528
"several years",103,0.00079271624606528
"three days",103,0.00079271624606528
"feel free",102,0.000785019971831636
"like see",102,0.000785019971831636
"never know",102,0.000785019971831636
"said dont",102,0.000785019971831636
"said will",102,0.000785019971831636
"take time",102,0.000785019971831636
"ever since",101,0.000777323697597993
"god bless",101,0.000777323697597993
"just made",101,0.000777323697597993
"really need",101,0.000777323697597993
"can imagine",100,0.000769627423364349
"theres nothing",100,0.000769627423364349
"time go",100,0.000769627423364349
"want make",100,0.000769627423364349
"big deal",99,0.000761931149130706
"family members",99,0.000761931149130706
"general manager",99,0.000761931149130706
"love see",99,0.000761931149130706
"one point",99,0.000761931149130706
"recent years",99,0.000761931149130706
"across country",98,0.000754234874897062
"cant even",98,0.000754234874897062
"chief executive",98,0.000754234874897062
"dont feel",98,0.000754234874897062
"going back",98,0.000754234874897062
"love much",98,0.000754234874897062
"middle school",98,0.000754234874897062
"people like",98,0.000754234874897062
"ready go",98,0.000754234874897062
"will need",98,0.000754234874897062
"federal government",97,0.000746538600663419
"las vegas",97,0.000746538600663419
"second half",97,0.000746538600663419
"will start",97,0.000746538600663419
"happy friday",96,0.000738842326429775
"im thinking",96,0.000738842326429775
"whats going",96,0.000738842326429775
"will likely",96,0.000738842326429775
"friends family",95,0.000731146052196132
"men women",95,0.000731146052196132
"ohio state",95,0.000731146052196132
"r u",95,0.000731146052196132
"sound like",95,0.000731146052196132
"thank u",95,0.000731146052196132
"thats right",95,0.000731146052196132
"three months",95,0.000731146052196132
"tomorrow night",95,0.000731146052196132
"able get",94,0.000723449777962488
"along way",94,0.000723449777962488
"can just",94,0.000723449777962488
"family friends",94,0.000723449777962488
"now know",94,0.000723449777962488
"said im",94,0.000723449777962488
"first quarter",93,0.000715753503728845
"got back",93,0.000715753503728845
"great deal",93,0.000715753503728845
"im good",93,0.000715753503728845
"im one",93,0.000715753503728845
"living room",93,0.000715753503728845
"police department",93,0.000715753503728845
"went back",93,0.000715753503728845
"good one",92,0.000708057229495201
"late s",92,0.000708057229495201
"said hes",92,0.000708057229495201
"said one",92,0.000708057229495201
"u can",92,0.000708057229495201
"will ever",92,0.000708057229495201
